GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,y
346,428455,1,815,15,0,5,3,0,1,0,61,1
974,433222,2,1330,5,0,5,1,11,0,1,36,2
631,429856,2,805,19,3,5,1,0,0,1,32,2
631,429856,2,805,19,3,5,1,0,0,1,30,2
782,434277,2,1705,51,3,2,5,0,2,0,26,2
1402,436807,2,1200,51,0,5,1,0,0,0,34,2
1564,436768,3,1230,48,0,5,1,0,0,1,39,2
1564,436768,3,1230,48,0,5,1,0,0,0,69,2
1531,434572,2,1807,48,0,0,1,0,0,1,18,2
1531,434572,2,1807,48,0,0,1,0,2,0,17,1
1531,434572,2,1807,48,0,0,1,0,2,0,19,2
910,437057,2,1800,51,0,2,1,4,0,1,36,2
1069,438004,1,2120,51,3,2,1,0,1,1,50,1
40,445342,2,1115,51,0,5,1,0,0,0,67,2
91,428537,2,1048,18,3,5,1,11,0,1,82,1
443,432598,2,1130,51,0,5,1,0,0,1,72,2
443,432598,2,1130,51,0,5,1,0,2,0,71,2
1495,433058,1,1132,51,0,5,1,0,1,0,86,2
630,433453,2,1700,2,0,2,1,5,0,1,42,1
1076,429362,1,1710,51,0,2,1,5,0,1,48,2
792,437020,2,1645,5,0,2,1,0,0,1,23,2
803,436643,1,1005,5,0,5,1,15,1,1,30,2
376,435487,2,1200,51,1,5,3,0,0,0,26,2
1212,433871,1,1550,51,0,5,1,0,1,1,20,2
521,434138,2,1857,17,0,1,1,0,2,1,25,2
331,427445,2,2010,30,3,2,1,0,0,0,42,2
331,427445,2,2010,30,3,2,1,0,2,0,10,2
331,427445,2,2010,30,3,2,1,0,2,0,10,2
331,427445,2,2010,30,3,2,1,0,2,0,11,2
23,442121,2,956,51,0,5,1,11,0,1,48,2
16,445539,2,1004,25,3,5,1,11,0,1,46,2
1399,425856,2,1730,49,0,2,1,1,0,1,46,2
1399,425856,2,1730,49,0,2,1,1,2,0,32,2
927,434563,2,1100,2,0,5,1,11,0,1,51,2
1017,434499,1,2333,51,3,2,1,0,0,1,20,2
125,442334,3,847,23,3,5,5,0,0,1,61,2
125,442334,3,847,23,3,5,5,0,2,0,29,2
662,431824,2,912,50,0,5,1,0,0,0,31,2
133,437868,2,1510,17,3,5,5,0,2,0,38,2
686,433672,3,1853,3,3,2,1,0,0,0,24,2
897,433960,1,1400,51,0,5,3,14,2,0,52,2
897,433960,1,1400,51,0,5,3,14,2,0,56,2
704,431344,2,1520,51,0,5,1,0,1,0,63,1
1146,435786,3,1850,51,0,1,1,0,0,0,27,2
1030,430345,3,954,51,0,2,1,0,0,1,24,2
1030,430345,3,954,51,0,2,1,0,1,1,41,2
1030,430345,3,954,51,0,2,1,0,1,1,21,2
1030,430345,3,954,51,0,2,1,0,1,1,27,2
423,437205,2,745,25,3,5,0,11,0,0,34,1
1419,436472,2,1300,51,0,5,1,9,0,1,20,2
1419,436472,2,1300,51,0,5,1,4,0,1,59,1
221,427642,2,1145,18,3,5,0,0,2,0,18,2
221,427642,2,1145,18,3,5,0,0,0,0,82,2
571,433002,2,2040,16,0,2,1,0,0,0,52,2
147,439311,2,640,51,0,1,1,0,0,1,25,1
147,439311,2,640,51,0,1,1,0,0,1,39,2
134,437858,2,710,17,0,1,1,11,0,1,49,2
222,434437,2,820,22,3,5,1,11,0,0,50,2
327,435960,2,815,17,0,5,1,11,0,1,32,2
787,437438,2,1125,51,0,5,1,0,0,1,80,1
1349,428429,2,1205,51,3,5,5,11,0,1,10,2
1449,435675,2,1500,51,0,5,1,0,0,0,49,2
1068,435358,1,1845,51,3,2,1,0,1,1,30,2
498,433188,1,715,51,3,1,1,0,1,0,13,2
862,436769,2,854,51,1,5,1,0,2,1,1,2
969,434504,2,925,5,3,5,1,0,0,0,47,2
950,439034,2,1710,5,0,2,1,0,0,0,46,2
1493,434550,2,1750,51,3,0,1,0,0,1,84,2
1493,434550,2,1750,51,3,0,1,13,0,1,29,2
523,431564,2,2115,50,3,2,1,0,0,0,26,2
523,431564,2,2115,50,3,2,1,0,0,0,21,2
1454,431960,1,10,51,1,0,1,0,0,1,21,2
44,445698,1,1103,51,3,2,1,0,1,0,75,2
535,432525,2,1515,2,0,5,1,11,0,1,16,2
909,437103,2,1817,51,0,1,1,11,0,1,18,2
1132,435107,2,2120,51,0,2,1,0,0,1,32,2
1132,435107,2,2120,51,0,2,1,0,0,1,27,2
1132,435107,2,2120,51,0,2,1,0,2,1,28,2
1251,434337,2,9,43,3,2,1,15,2,1,36,2
612,440134,3,1230,51,3,5,1,0,0,1,87,2
612,440134,3,1230,51,3,5,1,0,2,0,86,1
809,438567,2,1308,42,3,5,1,11,0,1,31,2
532,434078,5,1400,17,3,5,1,0,0,1,62,1
532,434078,5,1400,17,3,5,1,0,0,1,51,2
532,434078,5,1400,17,3,5,1,0,2,0,49,2
532,434078,5,1400,17,3,5,1,0,0,1,42,2
532,434078,5,1400,17,3,5,1,0,0,0,63,2
532,434078,5,1400,17,3,5,1,0,0,1,26,2
1558,438278,2,1800,0,3,2,1,0,0,0,57,2
1558,438278,2,1800,0,3,2,1,0,0,0,30,2
911,434358,2,1917,51,3,2,5,0,0,1,30,2
302,435509,2,2100,51,0,1,1,0,0,0,35,2
302,435509,2,2100,51,0,1,1,0,2,1,14,2
1246,429756,1,140,11,3,2,5,0,0,1,30,2
223,434437,2,627,51,3,2,5,11,0,1,52,2
87,428923,2,905,18,3,5,1,9,0,1,19,2
1189,432587,2,1120,5,0,5,1,8,2,1,56,2
1125,430458,1,1605,50,3,2,5,0,0,1,38,2
1554,435492,2,1755,29,3,2,2,0,0,0,52,2
990,432024,2,1815,51,3,2,5,0,0,0,21,2
981,433361,3,1430,51,0,5,1,0,0,1,52,2
981,433361,3,1430,51,0,5,1,0,2,0,51,2
981,433361,3,1430,51,0,5,1,0,2,0,23,2
981,433361,3,1430,51,0,5,1,0,2,1,2,2
442,425512,2,1730,19,3,2,1,0,2,0,45,1
442,425512,2,1730,19,3,2,1,0,0,0,18,2
442,425512,2,1730,19,3,2,1,0,2,1,15,1
442,425512,2,1730,19,3,2,1,0,0,1,46,2
627,432429,2,1715,51,0,2,1,11,0,0,23,2
1459,433169,2,1545,10,0,5,1,0,0,1,28,2
1459,433169,2,1545,10,0,5,1,0,2,0,31,2
1200,436372,1,1758,51,3,2,1,0,1,1,29,2
493,436010,1,1740,25,3,2,1,9,1,1,34,1
1081,431610,2,835,11,0,5,1,9,0,1,18,1
1036,430363,3,901,51,0,5,1,0,0,1,33,2
1036,430363,3,901,51,0,5,1,0,0,0,22,2
1249,435186,1,1700,51,0,2,1,0,1,0,14,2
534,435261,2,1145,51,0,5,1,11,0,1,21,2
978,424389,2,1920,18,0,1,1,0,0,0,46,2
1299,425849,2,745,49,0,2,1,0,0,1,52,2
159,433599,1,1100,51,0,5,1,0,1,1,60,1
508,426346,2,1540,18,0,5,1,0,0,1,50,2
508,426346,2,1540,18,0,5,1,0,2,1,51,2
242,433893,2,1730,51,0,1,1,11,0,1,16,2
707,433938,2,2007,3,3,1,1,15,0,1,24,2
707,433938,2,2007,3,3,1,1,15,2,0,18,2
707,433938,2,2007,3,3,1,1,0,0,0,29,2
1164,434989,1,2015,51,0,2,1,0,1,0,5,2
1164,434989,1,2015,51,0,2,1,0,1,0,37,2
781,433410,2,2020,51,0,2,1,11,0,0,26,2
649,431996,2,2128,51,0,2,1,0,0,1,19,2
141,443102,2,1100,23,3,5,1,0,0,0,84,2
141,443102,2,1100,23,3,5,1,0,0,1,63,2
141,443102,2,1100,23,3,5,1,0,2,0,57,2
1151,430309,2,1224,5,0,5,1,13,0,1,37,2
488,435308,2,1300,51,0,5,1,11,0,1,19,2
189,427904,2,1329,49,0,5,1,0,2,0,41,2
1191,438836,3,1350,51,3,5,1,0,0,1,18,2
1191,438836,3,1350,51,3,5,1,0,2,0,19,2
1191,438836,3,1350,51,3,5,1,0,0,0,22,2
670,431942,2,1950,51,0,2,1,0,0,1,46,2
818,432605,2,2118,51,0,2,1,11,0,1,19,2
687,433679,2,645,2,3,2,1,0,0,1,33,2
1354,428908,2,1115,51,0,5,1,0,1,1,13,1
1322,434278,2,1530,51,0,5,1,11,0,1,30,2
438,434591,2,1630,17,0,5,1,9,0,1,23,2
1152,435835,3,1903,51,3,2,1,0,0,0,26,2
1152,435835,3,1903,51,3,2,1,0,2,0,24,2
1152,435835,3,1903,51,3,2,1,0,2,1,20,2
1290,435155,2,2030,51,0,2,1,0,2,0,34,2
75,445002,2,1845,25,0,1,1,11,0,1,47,2
541,428758,2,1700,51,3,1,1,0,2,0,29,2
1008,435826,1,901,51,0,5,1,0,1,0,40,2
421,434684,2,1205,17,0,5,1,11,0,0,42,2
447,430960,1,1608,50,3,5,1,0,0,0,26,2
1432,436164,2,1640,51,3,2,1,9,0,1,27,2
279,433062,2,128,51,1,2,1,0,0,1,17,1
