GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
346,180,1,815,15,0,5,3,0,1,0,61,1
974,553,2,1330,5,0,5,1,11,0,1,36,2
631,233,2,805,19,3,5,1,0,0,1,32,2
631,233,2,805,19,3,5,1,0,0,1,30,2
782,811,2,1705,51,3,2,5,0,2,0,26,2
1402,1239,2,1200,51,0,5,1,0,0,0,34,2
1564,1236,3,1230,48,0,5,1,0,0,1,39,2
1564,1236,3,1230,48,0,5,1,0,0,0,69,2
1531,876,2,1807,48,0,0,1,0,0,1,18,2
1531,876,2,1807,48,0,0,1,0,2,0,17,1
1531,876,2,1807,48,0,0,1,0,2,0,19,2
910,1275,2,1800,51,0,2,1,4,0,1,36,2
1069,1324,1,2120,51,3,2,1,0,1,1,50,1
40,1537,2,1115,51,0,5,1,0,0,0,67,2
91,184,2,1048,18,3,5,1,11,0,1,82,1
443,461,2,1130,51,0,5,1,0,0,1,72,2
443,461,2,1130,51,0,5,1,0,2,0,71,2
1495,519,1,1132,51,0,5,1,0,1,0,86,2
630,609,2,1700,2,0,2,1,5,0,1,42,1
1076,210,1,1710,51,0,2,1,5,0,1,48,2
792,1269,2,1645,5,0,2,1,0,0,1,23,2
803,1225,1,1005,5,0,5,1,15,1,1,30,2
376,1050,2,1200,51,1,5,3,0,0,0,26,2
1212,716,1,1550,51,0,5,1,0,1,1,20,2
521,787,2,1857,17,0,1,1,0,2,1,25,2
331,106,2,2010,30,3,2,1,0,0,0,42,2
331,106,2,2010,30,3,2,1,0,2,0,10,2
331,106,2,2010,30,3,2,1,0,2,0,10,2
331,106,2,2010,30,3,2,1,0,2,0,11,2
23,1485,2,956,51,0,5,1,11,0,1,48,2
16,1540,2,1004,25,3,5,1,11,0,1,46,2
1399,25,2,1730,49,0,2,1,1,0,1,46,2
1399,25,2,1730,49,0,2,1,1,2,0,32,2
927,872,2,1100,2,0,5,1,11,0,1,51,2
1017,857,1,2333,51,3,2,1,0,0,1,20,2
125,1489,3,847,23,3,5,5,0,0,1,61,2
125,1489,3,847,23,3,5,5,0,2,0,29,2
662,379,2,912,50,0,5,1,0,0,0,31,2
133,1314,2,1510,17,3,5,5,0,2,0,38,2
686,660,3,1853,3,3,2,1,0,0,0,24,2
897,741,1,1400,51,0,5,3,14,2,0,52,2
897,741,1,1400,51,0,5,3,14,2,0,56,2
704,331,2,1520,51,0,5,1,0,1,0,63,1
1146,1113,3,1850,51,0,1,1,0,0,0,27,2
1030,259,3,954,51,0,2,1,0,0,1,24,2
1030,259,3,954,51,0,2,1,0,1,1,41,2
1030,259,3,954,51,0,2,1,0,1,1,21,2
1030,259,3,954,51,0,2,1,0,1,1,27,2
423,1281,2,745,25,3,5,0,11,0,0,34,1
1419,1200,2,1300,51,0,5,1,9,0,1,20,2
1419,1200,2,1300,51,0,5,1,4,0,1,59,1
221,116,2,1145,18,3,5,0,0,2,0,18,2
221,116,2,1145,18,3,5,0,0,0,0,82,2
571,511,2,2040,16,0,2,1,0,0,0,52,2
147,1404,2,640,51,0,1,1,0,0,1,25,1
147,1404,2,640,51,0,1,1,0,0,1,39,2
134,1309,2,710,17,0,1,1,11,0,1,49,2
222,846,2,820,22,3,5,1,11,0,0,50,2
327,1144,2,815,17,0,5,1,11,0,1,32,2
787,1290,2,1125,51,0,5,1,0,0,1,80,1
1349,179,2,1205,51,3,5,5,11,0,1,10,2
1449,1095,2,1500,51,0,5,1,0,0,0,49,2
1068,1028,1,1845,51,3,2,1,0,1,1,30,2
498,546,1,715,51,3,1,1,0,1,0,13,2
862,1237,2,854,51,1,5,1,0,2,1,1,2
969,859,2,925,5,3,5,1,0,0,0,47,2
