GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
426340,428455,1,815,A643,Dry,Daylight: Street lights present,Other,Car,Pedestrian,Female,61,Serious
430828,433222,2,1330,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,36,Slight
428940,429856,2,805,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,32,Slight
428940,429856,2,805,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,30,Slight
429899,434277,2,1705,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Female,26,Slight
435946,436807,2,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,34,Slight
443658,436768,3,1230,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,39,Slight
443658,436768,3,1230,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,69,Slight
442103,434572,2,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Male,18,Slight
442103,434572,2,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Female,17,Serious
442103,434572,2,1807,M1,Dry,Darkness: No street lighting,Fine without high winds,Car,Vehicle or pillion passenger,Female,19,Slight
430501,437057,2,1800,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Male,36,Slight
431382,438004,1,2120,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,50,Serious
420176,445342,2,1115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,67,Slight
421525,428537,2,1048,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,82,Serious
427512,432598,2,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,72,Slight
427512,432598,2,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,71,Slight
440390,433058,1,1132,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Female,86,Slight
428934,433453,2,1700,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Male,42,Serious
431409,429362,1,1710,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Male,48,Slight
429926,437020,2,1645,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,23,Slight
429962,436643,1,1005,A61,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Male,30,Slight
426818,435487,2,1200,U,Frost/Ice,Daylight: Street lights present,Other,Car,Driver or rider,Female,26,Slight
432483,433871,1,1550,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,20,Slight
428268,434138,2,1857,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Male,25,Slight
426232,427445,2,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,42,Slight
426232,427445,2,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,10,Slight
426232,427445,2,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,10,Slight
426232,427445,2,2010,B6123,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,11,Slight
419001,442121,2,956,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,48,Slight
418684,445539,2,1004,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,46,Slight
435907,425856,2,1730,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Driver or rider,Male,46,Slight
435907,425856,2,1730,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Vehicle or pillion passenger,Female,32,Slight
430604,434563,2,1100,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,51,Slight
431003,434499,1,2333,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,20,Slight
422393,442334,3,847,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Male,61,Slight
422393,442334,3,847,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Female,29,Slight
429125,431824,2,912,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,31,Slight
422670,437868,2,1510,A65,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Female,38,Slight
429284,433672,3,1853,A58(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,24,Slight
430424,433960,1,1400,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Vehicle or pillion passenger,Female,52,Slight
430424,433960,1,1400,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Vehicle or pillion passenger,Female,56,Slight
429398,431344,2,1520,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Female,63,Serious
431946,435786,3,1850,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Female,27,Slight
431081,430345,3,954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,24,Slight
431081,430345,3,954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,41,Slight
431081,430345,3,954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,21,Slight
431081,430345,3,954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,27,Slight
427322,437205,2,745,A660,Wet/Damp,Daylight: Street lights present,Fine with high winds,Pedal cycle,Driver or rider,Female,34,Serious
436201,436472,2,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,20,Slight
436201,436472,2,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Male,59,Serious
424929,427642,2,1145,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Vehicle or pillion passenger,Female,18,Slight
424929,427642,2,1145,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Female,82,Slight
428570,433002,2,2040,A647,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,52,Slight
423052,439311,2,640,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Male,25,Serious
423052,439311,2,640,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Male,39,Slight
422686,437858,2,710,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Male,49,Slight
424944,434437,2,820,A657,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Female,50,Slight
426197,435960,2,815,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,32,Slight
429913,437438,2,1125,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,80,Serious
434855,428429,2,1205,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver or rider,Male,10,Slight
437291,435675,2,1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,49,Slight
431381,435358,1,1845,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,30,Slight
428080,433188,1,715,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Female,13,Slight
430266,436769,2,854,U,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Male,1,Slight
430815,434504,2,925,A61,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,47,Slight
430708,439034,2,1710,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,46,Slight
440332,434550,2,1750,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Male,84,Slight
440332,434550,2,1750,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Pedal cycleCar,Driver or rider,Male,29,Slight
428276,431564,2,2115,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,26,Slight
428276,431564,2,2115,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,21,Slight
437522,431960,1,10,U,Frost/Ice,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Male,21,Slight
420203,445698,1,1103,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Female,75,Slight
428378,432525,2,1515,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,16,Slight
430498,437103,2,1817,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Male,18,Slight
431863,435107,2,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,32,Slight
431863,435107,2,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,27,Slight
431863,435107,2,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Male,28,Slight
432853,434337,2,9,B6159,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Male,36,Slight
428837,440134,3,1230,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,87,Slight
428837,440134,3,1230,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,86,Serious
429987,438567,2,1308,B6157,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,31,Slight
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,62,Serious
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,51,Slight
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,49,Slight
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,42,Slight
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,63,Slight
428342,434078,5,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,26,Slight
443545,438278,2,1800,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,57,Slight
443545,438278,2,1800,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,30,Slight
430511,434358,2,1917,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Male,30,Slight
425909,435509,2,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Female,35,Slight
425909,435509,2,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Male,14,Slight
432754,429756,1,140,A639,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Male,30,Slight
424945,434437,2,627,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver or rider,Male,52,Slight
421307,428923,2,905,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,19,Slight
432278,432587,2,1120,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Vehicle or pillion passenger,Male,56,Slight
431816,430458,1,1605,M621,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Male,38,Slight
443329,435492,2,1755,B1271,Wet/Damp,Darkness: Street lights present and lit,Fog or mist (if hazard),Car,Driver or rider,Female,52,Slight
430882,432024,2,1815,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Female,21,Slight
430855,433361,3,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,52,Slight
430855,433361,3,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,51,Slight
430855,433361,3,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,23,Slight
430855,433361,3,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Male,2,Slight
427498,425512,2,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,45,Serious
427498,425512,2,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,18,Slight
427498,425512,2,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Male,15,Serious
427498,425512,2,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,46,Slight
428931,432429,2,1715,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Female,23,Slight
437637,433169,2,1545,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,28,Slight
437637,433169,2,1545,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,31,Slight
432385,436372,1,1758,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Male,29,Slight
427999,436010,1,1740,A660,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Male,34,Serious
431435,431610,2,835,A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,18,Serious
431115,430363,3,901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,33,Slight
431115,430363,3,901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,22,Slight
432831,435186,1,1700,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Female,14,Slight
428377,435261,2,1145,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,21,Slight
430842,424389,2,1920,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Female,46,Slight
433670,425849,2,745,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,52,Slight
423365,433599,1,1100,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,60,Serious
428137,426346,2,1540,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,50,Slight
428137,426346,2,1540,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Male,51,Slight
425131,433893,2,1730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Male,16,Slight
429410,433938,2,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Driver or rider,Male,24,Slight
429410,433938,2,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Female,18,Slight
429410,433938,2,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Female,29,Slight
432042,434989,1,2015,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Female,5,Slight
432042,434989,1,2015,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Female,37,Slight
429895,433410,2,2020,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Female,26,Slight
429034,431996,2,2128,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,19,Slight
422947,443102,2,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,84,Slight
422947,443102,2,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,63,Slight
422947,443102,2,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,57,Slight
431965,430309,2,1224,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Male,37,Slight
427976,435308,2,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,19,Slight
424149,427904,2,1329,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,41,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,18,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,19,Slight
432287,438836,3,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,22,Slight
429169,431942,2,1950,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,46,Slight
430024,432605,2,2118,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Male,19,Slight
429293,433679,2,645,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,33,Slight
434937,428908,2,1115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,13,Serious
